nodes__abbr,nodes__name,nodes__group,links__source,links__target,links__value,nodes__individualBefore,nodes__individualAfter,nodes__familyBefore,nodes__familyAfter
AL,Alabama,6,0,8,4,209,145,757,282
AR,Arkansas,7,0,9,4,312,107,1131,205
AZ,Arizona,8,0,23,4,166,145,600,282
CA,California,9,0,40,4,241,145,873,282
CO,Colorado,8,1,16,4,237,145,859,282
CT,Connecticut,1,1,22,4,218,145,789,282
DC,DC,5,1,23,4,221,145,800,282
DE,Delaware,5,1,34,4,188,145,680,282
FL,Florida,5,1,40,4,188,145,682,282
GA,Georgia,5,1,41,4,265,145,961,282
IA,Iowa,4,2,3,4,189,145,683,282
ID,Idaho,8,2,30,4,171,145,619,282
IL,Illinois,3,2,31,4,249,145,902,282
IN,Indiana,3,2,42,4,265,145,961,282
KS,Kansas,4,3,31,4,202,145,731,282
KY,Kentucky,6,3,35,4,295,145,1069,282
LA,Louisiana,7,4,14,4,220,145,798,282
MA,Massachusetts,1,4,27,4,208,145,753,282
MD,Maryland,5,4,30,4,206,145,744,282
ME,Maine,1,4,34,4,237,145,859,282
MI,Michigan,3,4,42,4,260,145,943,282
MN,Minnesota,4,4,48,4,186,145,672,282
MO,Missouri,7,5,17,4,243,145,880,282
MS,Mississippi,6,5,32,4,232,145,841,282
MT,Montana,8,5,37,4,212,145,768,282
NC,North Carolina,5,6,18,4,175,145,634,282
ND,North Dakota,4,6,43,4,187,145,675,282
NE,Nebraska,4,7,18,4,223,145,809,282
NH,New Hampshire,1,7,29,4,235,145,852,282
NJ,New Jersey,2,7,36,4,161,145,584,282
NM,New Mexico,8,8,9,4,201,145,727,282
NV,Nevada,8,9,25,4,203,145,656,282
NY,New York,2,9,38,4,221,145,799,282
OH,Ohio,3,9,40,4,218,145,789,282
OK,Oklahoma,7,10,12,4,238,145,861,282
OR,Oregon,9,10,21,4,342,145,1237,282
PA,Pennsylvania,2,10,22,4,220,145,798,282
RI,Rhode Island,1,10,27,4,208,145,753,282
SC,South Carolina,5,10,39,4,206,145,744,282
SD,South Dakota,4,10,46,4,203,145,656,282
TN,Tennessee,6,11,24,4,227,146,731,282
TX,Texas,7,11,31,4,237,145,859,282
UT,Utah,8,11,35,4,260,145,943,282
VA,Virginia,5,11,42,4,186,145,672,282
VT,Vermont,1,11,45,4,243,145,880,282
WA,Washington,9,11,48,4,232,145,841,282
WI,Wisconsin,3,12,13,4,212,145,768,282
WV,West Virginia,5,12,15,4,175,145,634,282
WY,Wyoming,8,12,22,4,187,145,675,282
,,,12,46,4,,,,
,,,13,15,4,,,,
,,,13,20,4,,,,
,,,13,33,4,,,,
,,,14,22,4,,,,
,,,14,27,4,,,,
,,,14,34,4,,,,
,,,15,22,4,,,,
,,,15,33,4,,,,
,,,15,40,4,,,,
,,,15,43,4,,,,
,,,15,47,4,,,,
,,,16,23,4,,,,
,,,16,41,4,,,,
,,,17,28,4,,,,
,,,17,32,4,,,,
,,,17,37,4,,,,
,,,17,44,4,,,,
,,,18,36,4,,,,
,,,18,43,4,,,,
,,,18,47,4,,,,
,,,19,28,4,,,,
,,,20,33,4,,,,
,,,20,46,4,,,,
,,,21,26,4,,,,
,,,21,39,4,,,,
,,,21,46,4,,,,
,,,22,27,4,,,,
,,,22,34,4,,,,
,,,22,40,4,,,,
,,,23,40,4,,,,
,,,24,26,4,,,,
,,,24,39,4,,,,
,,,24,48,4,,,,
,,,25,38,4,,,,
,,,25,40,4,,,,
,,,25,43,4,,,,
,,,26,39,4,,,,
,,,27,39,4,,,,
,,,27,48,4,,,,
,,,28,44,4,,,,
,,,29,32,4,,,,
,,,29,36,4,,,,
,,,30,34,4,,,,
,,,30,41,4,,,,
,,,31,35,4,,,,
,,,31,42,4,,,,
,,,32,36,4,,,,
,,,32,44,4,,,,
,,,33,36,4,,,,
,,,33,47,4,,,,
,,,34,41,4,,,,
,,,35,45,4,,,,
,,,36,47,4,,,,
,,,39,48,4,,,,
,,,40,43,4,,,,
,,,42,48,4,,,,
,,,43,47,4,,,,
